museo,anno,presenze
"musei civici fiorentini",2006,580872
"galleria degli uffizi",2006,1663438
"galleria dell accademia",2006,1236938
"museo di san marco",2006,194627
"museo di palazzo davanzati",2006,65477
"musei civici fiorentini",2007,570839
"galleria degli uffizi",2007,1615939
"galleria dell accademia",2007,1286722
"museo di san marco",2007,184270
"museo di palazzo davanzati",2007,79787
"musei civici fiorentini",2008,499890
"galleria degli uffizi",2008,1553951
"galleria dell accademia",2008,1234321
"museo di san marco",2008,170537
"museo di palazzo davanzati",2008,86075
"musei civici fiorentini",2009,532866
"galleria degli uffizi",2009,1530318
"galleria dell accademia",2009,1130136
"museo di san marco",2009,153748
"museo di palazzo davanzati",2009,104107
"musei civici fiorentini",2010,624220
"galleria degli uffizi",2010,1651055
"galleria dell accademia",2010,1170772
"museo di san marco",2010,156002
"museo di palazzo davanzati",2010,47142
